"","p","PL BIC","Exp BIC","TPL BIC","PL expo","Exp trunc","TPL expo","TPL trunc"
"1",0.282,9731596.33081735,12632732.3118118,9730399.08437553,2.09532553675224,0.138055990128703,2.08559489086245,0.00029513643534899
"2",0.283,23295983.412311,31744742.4102492,23285720.2076051,2.06621658521533,0.111143627098757,2.05821483259298,1.49011611938477e-08
"3",0.284,48086883.4218111,70728946.7881925,48063887.6752187,2.05227744870884,0.0831225870359476,2.04373061815816,1.49011611938477e-08
"4",0.285,67801142.2909864,104623479.43764,67774776.4336666,2.08776718794742,0.077075472557879,2.08054265506273,1.49011611938477e-08
"5",0.29,46610245.8640452,57221603.5604691,46609318.7529219,2.59336305183427,0.352483165478169,2.59277004268468,1.49011611938477e-08
