"","p","PL","TPL","Exp"
"1","0p566",NA,NA,NA
"2","0p569","682.987366908107","663.788616540223","678.924069224356"
"3","0p57","812.890218506225","788.563866573549","808.688189611336"
"4","0p575","1486.62399287691","1434.47381520419","1505.77907084308"
"5","0p58","1954.32333100392","1897.89557107874","2008.69684476409"
"6","0p59","2379.21148142132","2325.03116079143","2549.73203161384"
"7","0p62","2003.76295364195","2013.7094786819","2558.65830922408"
"8","0p64","1283.05106706423","1280.46514224792","2056.62178075196"
