,p,PL,TPL,Exp
1,0p566,472.6200167,368.9392512,377.9299091
2,0p568,615.4390938,482.0545273,493.1569352
3,0p57,749.7105437,588.6908476,601.6644859
4,0p575,1259.415673,1226.920187,1014.675548
5,0p58,1571.340706,NaN,1268.060533
6,0p59,2649.032413,NaN,2145.944811
7,0p62,23900.91471,NaN,19671.83577
8,0p64,46140.27189,44598.8004,38153.89327
