"","p","PL","TPL","Exp"
"1","0p399","2713.51120492778","NaN","2198.56342940263"
"2","0p4","3550.95159144801","NaN","2882.71508405159"
"3","0p401","4567.08784425832","NaN","3714.40495112918"
"4","0p403","8494.08763251104","8268.36300118415","6939.31125167891"
"5","0p405","14143.7440533106","11456.1235769038","11597.3998801628"
"6","0p41","31648.1983073354","30706.8292746281","26100.4801286778"
"7","0p42","58660.7382015541","56558.6539998472","48589.0989352288"
