"","p","PL","TPL","Exp"
"1","0p566","30168.8305567832","28825.1673734378","29852.1749853788"
"2","0p569","75647.2038666499","72401.8781072245","75340.0378371044"
"3","0p57","90301.0410029492","86394.5705736627","89926.1191100947"
"4","0p575","166538.28998396","160154.560137774","168700.163926816"
"5","0p58","220242.050048325","212369.577889081","225939.285125147"
"6","0p59","270730.377580254","263229.153824937","288691.037335503"
"7","0p62","240271.550894523","237755.908253945","298303.032985995"
"8","0p64","166263.874054935","NaN","247462.471884412"
"9","0p65","123673.382216714","123666.719871689","213953.069201971"
"10","0p66","91820.2136027502","91826.8376930754","186302.145345261"
