"","p","PL","TPL","Exp"
"1","0p399","21254.6020775623","20857.2777771784","24082.5820644172"
"2","0p4","31567.6583349551","30960.2963288617","35739.9331600674"
"3","0p401","52055.1976696459","51048.2379866289","58973.3538800621"
"4","0p403","92475.8002462553","NaN","110282.583141292"
"5","0p405","125717.255187493","124330.391796289","154985.670615931"
"6","0p41","142780.906987725","142112.640600227","198161.21345585"
"7","0p42","98499.3469532564","98497.3343350967","176588.398960412"
