"","p","PL","TPL","Exp","PL expo","Exp trunc","TPL expo","TPL trunc"
"1",0.282,2271.34585839277,0,3043.97172740066,1.54888312723078,0.0513760860301727,0,0
"2",0.283,8821.36758947472,8805.1590160526,12940.3530385492,1.5778892313328,0.0432783094370229,1.50543998130417,0.00108969838172243
"3",0.284,24961.2247330545,24969.3170033779,41006.7885248488,1.60761100010356,0.0325622946511384,1.60472772471719,1.49011611938477e-08
"4",0.285,40765.4611828559,40772.9380154357,76766.4994262394,1.65828465410269,0.0246426378928631,1.65609379920363,1.49011611938477e-08
"5",0.29,25997.0898577339,26012.4876041173,77363.9653816597,1.86300158281434,0.00915837528620821,1.86218649458356,1.49011611938477e-08
